Trial,Dose,Well,Minute,MD ,MV,TD
1,3,A1,10,0.136715768,4.101416392,242.533772
1,3,A1,11,0.151245623,4.537305906,267.09977
1,3,A1,12,0.137674897,4.130189185,245.061316
1,3,A1,13,0.146425836,4.392711827,259.613008
1,3,A1,14,0.144089035,4.322610415,256.910749
1,3,A1,15,0.145559532,4.3667224,258.36817
1,3,A1,16,0.140782647,4.223421068,249.044502
1,3,A1,17,0.120637459,3.619072618,212.925116
1,3,A1,18,0.135039364,4.051121453,224.030305
1,3,A1,19,0.192258912,5.767689478,338.952461
1,3,A1,20,0.16888449,5.066465308,298.756662
1,3,A1,21,0.153755613,4.612604099,268.918567
1,3,A1,22,0.167673982,5.030149714,293.597143
1,3,A1,23,0.153493721,4.604745225,269.074493
1,3,A1,24,0.163016157,4.890418915,287.071452
1,3,A1,25,0.138939843,4.168135442,245.367762
1,3,A1,26,0.134912346,4.047303077,3.507721
,,,,,,
1,3,A2,1,0.027266852,0.817993433,47.580657
1,3,A2,2,0.038436587,1.15308132,66.687479
1,3,A2,3,0.023238222,0.697136499,39.365548
1,3,A2,4,0.021781251,0.65342895,38.378565
1,3,A2,5,0.081627431,2.448786075,144.970318
1,3,A2,6,0.082897205,2.486880509,146.645156
1,3,A2,7,0.103520893,3.10558317,183.853106
1,3,A2,8,0.122255364,3.667609813,215.291696
1,3,A2,9,0.102692878,3.080742632,182.177165
1,3,A2,10,0.081519786,2.445558089,144.6161
1,3,A2,11,0.084440906,2.533191058,149.291521
1,3,A2,12,0.069178997,2.075342368,123.276972
1,3,A2,13,0.066717565,2.001499393,118.690549
1,3,A2,14,0.035997221,1.079901482,64.111051
1,3,A2,15,0.037930731,1.137905388,67.516702
1,3,A2,16,0.017941732,0.538244617,31.631273
1,3,A2,17,0.032633176,0.978981657,56.52066
1,3,A2,18,0.073417776,2.202503934,119.81781
1,3,A2,19,0.103778593,3.113310789,182.754103
1,3,A2,20,0.073655889,2.209647322,129.560708
1,3,A2,21,0.075347753,2.260401698,133.139479
1,3,A2,22,0.09143074,2.742884454,161.740979
1,3,A2,23,0.371317309,11.13936774,656.860319
1,3,A2,24,0.141651062,4.249471653,251.99724
1,3,A2,25,0.000322206,0.009665985,0.573849
1,3,A2,26,0,0,0
,,,,,,
