Trial ,Well ,Dose ,Minute ,TD ,MV 
3,C2,2,14,305.071,5.13292
1,B6,2,11,303.574,6.1911
1,B6,2,1,302.947,5.16673
3,B5,2,3,302.073,5.1489
3,C3,2,15,302.035,5.15118
3,C4,2,12,301.685,5.09884
3,B5,2,12,301.557,5.09667
3,B5,2,24,301.049,5.04262
2,B5,2,12,301.028,5.19305
3,B6,2,15,300.695,5.12833
3,C5,2,9,300.503,5.07028
3,C2,2,25,299.398,5.01778
1,B2,2,14,299.008,5.1701
2,C5,2,13,298.258,5.13052
3,C5,2,13,296.506,4.98043
1,C2,2,24,296.367,5.38189
1,B6,2,12,296.27,5.88217
3,B6,2,23,293.675,4.98029
1,B5,2,25,292.939,5.3358
3,C2,2,24,292.868,4.90559
3,C4,2,3,292.513,4.98594
3,C5,2,11,291.142,4.91787
3,B5,2,22,291.069,5.23184
3,B5,2,2,290.495,4.90971
3,C5,2,14,290,4.87934
3,B5,2,1,289.363,5.16098
3,B6,2,25,288.944,4.85613
1,B5,2,22,287.632,5.40992
1,B6,2,5,287.087,4.94402
3,C2,2,15,286.179,4.88631
3,B4,2,11,283.778,4.78808
1,C1,2,18,283.636,4.9043
1,B2,2,11,283.54,5.06616
3,B6,2,2,282.445,4.77365
1,B3,2,13,282.356,4.74807
3,B6,2,13,282.069,4.73793
1,C4,2,11,281.272,5.05878
3,C3,2,23,280.966,4.75938
3,B6,2,9,280.2,5.10065
3,C3,2,25,279.745,4.68839
3,B6,2,4,279.534,4.81672
1,B3,2,14,277.818,4.6587
3,C5,2,22,276.688,4.9913
3,C2,2,23,276.685,4.65272
3,C5,2,24,276.412,4.62995
3,C3,2,22,276.398,4.98008
1,B4,2,21,274.604,5.12952
3,B6,2,1,272.418,4.87033
3,B6,2,7,272.279,5.34921
1,B3,2,12,271.415,4.56921
3,B3,2,3,271.211,4.62286
3,C3,2,5,270.404,4.62223
3,B6,2,8,270.363,5.18924
3,B6,2,11,269.823,4.57839
3,C1,2,11,269.427,4.55107
2,C5,2,11,267.871,4.6721
2,C1,2,15,267.863,4.56837
1,B5,2,14,267.736,4.75545
3,C4,2,2,266.897,4.51086
1,C1,2,25,265.723,5.10345
1,B2,2,12,265.7,4.76443
3,C5,2,3,265.181,4.52006
3,C3,2,3,264.983,4.51669
3,C5,2,16,264.904,4.70515
3,B3,2,16,264.708,4.7867
2,B5,2,15,264.63,4.5889
3,C3,2,4,264.25,4.55597
3,C1,2,10,262.938,4.43148
3,C5,2,21,262.81,4.4418
1,C4,2,24,262.447,5.05023
1,B2,2,13,262.186,4.56498
1,B6,2,4,261.834,4.56415
2,C1,2,2,261.421,4.43331
1,C4,2,21,260.832,5.13777
2,C1,2,14,260.668,4.41306
3,C5,2,25,260.223,4.36609
1,C3,2,12,260.122,4.88944
2,C1,2,3,259.643,4.38827
3,B6,2,12,258.399,4.36724
2,B6,2,18,257.905,4.48524
3,C5,2,12,257.825,4.35754
3,C5,2,8,257.73,4.32669
3,C2,2,4,257.101,4.43017
1,C1,2,10,256.823,4.43812
2,B6,2,20,256.335,4.52883
3,C3,2,21,255.992,4.31683
1,C3,2,17,255.617,4.35456
1,B5,2,21,254.611,4.69467
3,C3,2,2,252.983,4.27571
2,C5,2,12,252.937,4.32365
