Trail,Dose,Well,Minute,MD,MV,TD
1,2,C2,6,0.08287373,2.486175407,146.520754
1,2,C2,7,0.122829325,3.684829166,219.496003
1,2,C2,8,0.122451826,3.673501665,219.188768
1,2,C2,9,0.107696334,3.230845113,191.053297
1,2,C2,10,0.098375354,2.951220324,170.287738
1,2,C2,11,0.163644787,4.909275901,290.633142
1,2,C2,12,0.216074506,6.482140227,380.723279
1,2,C2,13,0.180587304,5.417546633,322.8901
1,2,C2,14,0.195952967,5.878507065,329.200984
1,2,C2,15,0.208069764,6.242001951,368.907691
1,2,C2,16,0.08878384,2.663477514,157.502533
1,2,C2,17,0.066931008,2.007901176,119.53878
1,2,C2,18,0.074061053,2.221802671,132.27304
1,2,C2,19,0.069467818,2.084006723,124.000055
1,2,C2,20,0.07573136,2.271908286,134.347432
1,2,C2,21,0.161031948,4.830892608,286.475836
1,2,C2,22,0.186867052,5.605933416,333.183954
1,2,C2,23,0.188487869,5.654559685,334.565968
1,2,C2,24,0.187121513,5.613569842,332.140686
1,2,C2,25,0.198747842,5.962348442,351.982429
1,2,C2,26,0.286004385,8.580027308,7.436114
,,,,,,
1,2,C3,1,0.192490282,5.77462557,317.608965
1,2,C3,2,0.208771385,6.263051062,338.000872
1,2,C3,3,0.202105022,6.063066221,359.949045
1,2,C3,4,0.216709044,6.501178772,386.608935
1,2,C3,5,0.194218762,5.826480646,345.903616
1,2,C3,6,0.117208186,3.516198054,207.224073
1,2,C3,7,0.154734077,4.641958142,276.509796
1,2,C3,8,0.160604949,4.81807967,287.482859
1,2,C3,9,0.210563865,6.316828322,372.698041
1,2,C3,10,0.225313418,6.759309555,390.017526
1,2,C3,11,0.224025942,6.720681631,399.662281
1,2,C3,12,0.211700301,6.350918134,372.169129
1,2,C3,13,0.223190624,6.695624799,399.064835
1,2,C3,14,0.20712836,6.213762073,346.732875
1,2,C3,15,0.207866757,6.235917394,367.716294
1,2,C3,16,0.180506638,5.415124061,320.940803
1,2,C3,17,0.177359099,5.320700387,316.408632
1,2,C3,18,0.191820481,5.754536303,341.440457
1,2,C3,19,0.202275937,6.068189635,359.848892
1,2,C3,20,0.242375414,7.271160675,430.701111
1,2,C3,21,0.224985139,6.749459532,399.348622
1,2,C3,22,0.189198094,5.675861433,336.583409
1,2,C3,23,0.191042547,5.731196165,338.718436
1,2,C3,24,0.171441231,5.143168872,303.965302
1,2,C3,25,0.177090438,5.312641679,314.335528
1,2,C3,26,1.293989654,38.818975,33.643731
,,,,,,
1,2,C4,1,0.184592899,5.537710776,304.578284
1,2,C4,2,0.187211521,5.61626706,303.095453
1,2,C4,3,0.197003851,5.910033189,350.863859
1,2,C4,4,0.194023211,5.820612618,346.137408
1,2,C4,5,0.197662634,5.9297968,352.037152
1,2,C4,6,0.177669994,5.330025136,314.12055
1,2,C4,7,0.145946103,4.378321158,260.805686
1,2,C4,8,0.171924957,5.157675336,307.057973
1,2,C4,9,0.141207981,4.236181894,250.502959
1,2,C4,10,0.173094268,5.192753712,298.933801
1,2,C4,11,0.207035186,6.21097197,368.936701
1,2,C4,12,0.199067097,5.971924027,349.959957
1,2,C4,13,0.231467345,6.943920544,412.474808
1,2,C4,14,0.20638969,6.191608425,345.90912
1,2,C4,15,0.195928036,5.877759706,346.596695
1,2,C4,16,0.127610268,3.828256772,226.891057
1,2,C4,17,0.150355093,4.510591695,267.932776
1,2,C4,18,0.178712511,5.361301988,317.39342
1,2,C4,19,0.223468371,6.703959014,398.891043
1,2,C4,20,0.221949992,6.65840489,394.405135
1,2,C4,21,0.208607866,6.258148016,371.113394
1,2,C4,22,0.219391572,6.581654008,390.297606
1,2,C4,23,0.220609894,6.618205318,391.582562
1,2,C4,24,0.19242549,5.772682772,341.555245
1,2,C4,25,0.215722058,6.471569615,381.180876
1,2,C4,26,0.387415542,11.6223175,9.297973
,,,,,,
1,2,C5,1,0.153621242,4.608575206,253.475049
1,2,C5,2,0.170648876,5.11939223,276.28053
1,2,C5,3,0.166494978,4.994779607,296.527556
1,2,C5,4,0.174020842,5.220553952,310.453182
1,2,C5,5,0.177458239,5.32367402,316.053123
1,2,C5,6,0.08289784,2.486899367,146.563382
1,2,C5,7,0.148155467,4.444603838,264.013043
1,2,C5,8,0.102270854,3.068081827,183.064828
1,2,C5,9,0.095504106,2.865081967,169.424284
1,2,C5,10,0.159718308,4.791479925,276.472392
1,2,C5,11,0.155376525,4.661228962,276.880968
1,2,C5,12,0.164432799,4.932915569,289.07286
1,2,C5,13,0.179646238,5.389303761,319.051718
1,2,C5,14,0.179114051,5.373344493,300.19515
1,2,C5,15,0.181552585,5.446496714,321.529628
1,2,C5,16,0.132564453,3.97688009,235.699597
1,2,C5,17,0.133089462,3.992627592,237.697779
1,2,C5,18,0.14968573,4.490509254,267.039342
1,2,C5,19,0.158706371,4.76112272,282.973459
1,2,C5,20,0.143017807,4.290473085,255.000749
1,2,C5,21,0.171416465,5.142417791,304.949892
1,2,C5,22,0.160866038,4.825913609,285.698084
1,2,C5,23,0.169711499,5.091272922,300.898488
1,2,C5,24,0.171801279,5.153964732,304.947271
1,2,C5,25,0.161870819,4.856057589,286.67322
1,2,C5,26,0.149678846,4.490315385,3.89165
,,,,,,
1,2,C6,1,0.141296512,4.238835012,233.139244
1,2,C6,2,0.133432375,4.002915152,215.493286
1,2,C6,3,0.145578878,4.367306317,259.275981
1,2,C6,4,0.161151021,4.834463957,287.493422
1,2,C6,5,0.149291903,4.478696088,265.590295
1,2,C6,6,0.071520178,2.145574502,126.447674
1,2,C6,7,0.057304485,1.719109491,102.403115
1,2,C6,8,0.061771945,1.853132112,110.571781
1,2,C6,9,0.076232946,2.286957113,134.932314
1,2,C6,10,0.030006749,0.900190982,51.941683
1,2,C6,11,0.129847068,3.895358065,230.868087
1,2,C6,12,0.170902661,5.12700963,300.446878
1,2,C6,13,0.162492429,4.874702217,289.561509
1,2,C6,14,0.18376163,5.512771609,307.249445
1,2,C6,15,0.15477777,4.643268713,274.111431
1,2,C6,16,0.070499435,2.114954184,125.347995
1,2,C6,17,0.150025115,4.500690761,267.944855
1,2,C6,18,0.167181231,5.015371446,298.251316
1,2,C6,19,0.129905388,3.897109337,231.361496
1,2,C6,20,0.162412075,4.872290692,288.606257
1,2,C6,21,0.156902519,4.707007431,279.129582
1,2,C6,22,0.166168054,4.984973241,294.782128
1,2,C6,23,0.132397173,3.971858707,234.475394
1,2,C6,24,0.153867157,4.615951351,273.421938
1,2,C6,25,0.153827658,4.614767276,272.736437
1,2,C6,26,0.131477,3.944279231,3.418402
,,,,,,
1,3,A1,1,0.137662989,4.129834398,243.525828
1,3,A1,2,0.139393153,4.181739066,243.380446
1,3,A1,3,0.139534501,4.185975768,235.394704
1,3,A1,4,0.137531012,4.125874521,238.478774
1,3,A1,5,0.137833336,4.134945364,242.586671
1,3,A1,6,0.105030878,3.150881597,186.114715
1,3,A1,7,0.098411165,2.952292993,174.286173
1,3,A1,8,0.158935666,4.768001695,280.362515
1,3,A1,9,0.171163065,5.134819836,302.787462
1,3,A1,10,0.243557218,7.306609612,433.044734
1,3,A1,11,0.170316173,5.10940784,287.834333
1,3,A1,12,0.130966381,3.928939152,227.095704
1,3,A1,13,0.148793202,4.463732938,260.834483
1,3,A1,14,0.142509787,4.275232365,237.991344
1,3,A1,15,0.15577919,4.673309143,269.030661
1,3,A1,16,0.102475565,3.07422406,170.621815
1,3,A1,17,0.126262832,3.787833196,198.737697
1,3,A1,18,0.099691557,2.990706042,167.481816
1,3,A1,19,0.122997422,3.689873131,217.213448
1,3,A1,20,0.127755529,3.832612777,188.183894
1,3,A1,21,0.179546795,5.386333448,271.833848
1,3,A1,22,0.170347774,5.110369642,275.622698
1,3,A1,23,0.161630677,4.848857352,272.18606
1,3,A1,24,0.129850221,3.895452211,223.21253
1,3,A1,25,0.228350266,6.850423071,382.943396
1,3,A1,26,0.102627269,3.078790385,2.668309
,,,,,,
1,3,A2,1,0.163517026,4.905440892,291.387341
1,3,A2,2,0.171021078,5.130560592,303.220371
1,3,A2,3,0.197858295,5.935664301,338.139827
1,3,A2,4,0.206648808,6.199385308,362.46201
1,3,A2,5,0.169864109,5.095854095,300.319744
1,3,A2,6,0.094966828,2.848964983,169.040954
1,3,A2,7,0.05939315,1.781769457,105.066483
1,3,A2,8,0.208610891,6.258236389,370.284331
1,3,A2,9,0.279398551,8.381838356,491.182652
1,3,A2,10,0.264931571,7.947838119,468.92888
1,3,A2,11,0.305172984,9.155069314,520.625111
1,3,A2,12,0.176237651,5.287060975,300.13272
1,3,A2,13,0.215154239,6.454539839,374.798684
1,3,A2,14,0.228212022,6.846267117,376.778048
1,3,A2,15,0.18842595,5.652698953,323.904208
1,3,A2,16,0.120669191,3.620033121,200.672864
1,3,A2,17,0.062716513,1.881465794,96.332564
1,3,A2,18,0.11086309,3.325847389,180.48511
1,3,A2,19,0.117029396,3.510830634,205.035502
1,3,A2,20,0.12288026,3.686353988,179.036539
1,3,A2,21,0.13961116,4.188272833,219.329133
1,3,A2,22,0.144667187,4.339959016,245.500216
1,3,A2,23,0.17720668,5.316119609,298.770463
1,3,A2,24,0.199393753,5.981727961,330.594843
1,3,A2,25,0.177179961,5.315325268,301.028753
1,3,A2,26,0.089331444,2.679906111,1.607966
,,,,,,
1,3,A3,1,0.237437251,7.123016981,417.652125
1,3,A3,2,0.229344005,6.880225006,406.856264
1,3,A3,3,0.236222607,7.086583215,400.397319
1,3,A3,4,0.215073889,6.452126976,373.368272
1,3,A3,5,0.222996634,6.689808673,386.453166
1,3,A3,6,0.037056347,1.111673299,65.256227
1,3,A3,7,0.030629958,0.918886044,52.806048
1,3,A3,8,0.079844773,2.395314608,138.450836
1,3,A3,9,0.121797672,3.653885477,213.267723
1,3,A3,10,0.15047852,4.514301795,265.745066
1,3,A3,11,0.1873418,5.620166594,327.286124
1,3,A3,12,0.258465697,7.75386566,428.794592
1,3,A3,13,0.268498664,8.054852581,456.716227
1,3,A3,14,0.333044224,9.991187182,553.186456
1,3,A3,15,0.2686115,8.058235979,442.940364
1,3,A3,16,0.097575587,2.927223516,160.121539
1,3,A3,17,0.085993511,2.579768881,131.398085
1,3,A3,18,0.149909839,4.49723285,248.250694
1,3,A3,19,0.152638721,4.579099836,269.254704
1,3,A3,20,0.156427001,4.692740191,229.009129
1,3,A3,21,0.22788669,6.836505371,355.95901
1,3,A3,22,0.254411165,7.632229628,417.488721
1,3,A3,23,0.255283197,7.65839017,436.023701
1,3,A3,24,0.283308748,8.499139576,494.090457
1,3,A3,25,0.301381362,9.041314348,510.841409
1,3,A3,26,0.298083269,8.942400385,7.750165
,,,,,,
1,3,A4,1,0.133894768,4.016790526,236.859844
1,3,A4,2,0.125675328,3.770207744,221.188578
1,3,A4,3,0.139034241,4.170968372,233.994627
1,3,A4,4,0.119779111,3.59332478,209.254107
1,3,A4,5,0.154125374,4.623693258,265.866271
1,3,A4,6,0.255782233,7.673359972,452.478771
1,3,A4,7,0.236459213,7.093675431,419.242185
1,3,A4,8,0.155841587,4.675186132,274.748717
1,3,A4,9,0.170203211,5.106024788,301.770293
1,3,A4,10,0.174452821,5.233511568,308.258134
1,3,A4,11,0.204076669,6.122214447,343.256957
1,3,A4,12,0.161960419,4.858742592,268.692335
1,3,A4,13,0.164829373,4.944817268,273.946418
1,3,A4,14,0.108658323,3.259704918,171.68015
1,3,A4,15,0.121981426,3.659391366,204.562852
1,3,A4,16,0.174381957,5.231390603,289.299667
1,3,A4,17,0.169773708,5.093135513,266.374948
1,3,A4,18,0.199773231,5.993113052,333.221749
1,3,A4,19,0.202663579,6.079824611,351.62131
1,3,A4,20,0.240033528,7.200903841,326.205564
1,3,A4,21,0.155384642,4.661476796,231.833886
1,3,A4,22,0.184456935,5.533623013,314.683531
1,3,A4,23,0.186117515,5.583444303,319.191538
1,3,A4,24,0.166504681,4.995069397,281.559415
1,3,A4,25,0.177434139,5.322947343,290.459686
1,3,A4,26,0.21804825,6.541369,4.360965
,,,,,,
1,3,A5,1,0.128345319,3.85030754,227.427905
1,3,A5,2,0.126994427,3.809778034,223.510191
1,3,A5,3,0.129579945,3.887343901,218.212627
1,3,A5,4,0.138407093,4.152154609,244.426926
1,3,A5,5,0.15040155,4.511981073,263.503515
1,3,A5,6,0.126950726,3.808461292,225.972293
1,3,A5,7,0.079125184,2.373718701,140.130701
1,3,A5,8,0.065062926,1.951859578,115.616819
1,3,A5,9,0.068484486,2.054506596,120.121789
1,3,A5,10,0.087462769,2.623848834,155.333877
1,3,A5,11,0.132803222,3.984037484,224.835855
1,3,A5,12,0.153241914,4.597202543,255.45427
1,3,A5,13,0.138570558,4.157060955,233.629961
1,3,A5,14,0.167122093,5.01358986,263.55154
1,3,A5,15,0.197385354,5.921471713,326.080604
1,3,A5,16,0.158513549,4.755348208,263.608032
1,3,A5,17,0.042248707,1.267441033,66.66846
1,3,A5,18,0.113587926,3.407601708,188.896721
1,3,A5,19,0.083576777,2.507267085,146.51009
1,3,A5,20,0.075499958,2.264972309,108.56894
1,3,A5,21,0.110450989,3.313480742,163.688366
1,3,A5,22,0.15659314,4.697726554,263.546254
1,3,A5,23,0.158995367,4.769788671,273.949017
1,3,A5,24,0.165905337,4.977087108,283.366316
1,3,A5,25,0.147999536,4.439925362,249.231219
1,3,A5,26,0.139527542,4.185740833,3.348661
,,,,,,
1,3,A6,1,0.139018495,4.170497412,245.506662
1,3,A6,2,0.140485086,4.214494139,248.096661
1,3,A6,3,0.137584202,4.127466073,227.701854
1,3,A6,4,0.121563717,3.646856181,210.426794
1,3,A6,5,0.128762773,3.862828809,222.630835
1,3,A6,6,0.120418589,3.612506853,213.502159
1,3,A6,7,0.143799828,4.31393517,248.917503
1,3,A6,8,0.278390096,8.351591479,489.409788
1,3,A6,9,0.259185758,7.775468823,449.168919
1,3,A6,10,0.263200142,7.895901129,466.390651
1,3,A6,11,0.210663337,6.319812339,356.65303
1,3,A6,12,0.204862835,6.145795399,357.075921
1,3,A6,13,0.179766934,5.392934887,309.01936
1,3,A6,14,0.188557928,5.656663717,304.89817
1,3,A6,15,0.139858589,4.195700238,234.96243
1,3,A6,16,0.137674702,4.130182734,229.090704
1,3,A6,17,0.188786427,5.663512283,282.802068
1,3,A6,18,0.230754053,6.922521015,374.975336
1,3,A6,19,0.188566298,5.65690884,315.471417
1,3,A6,20,0.16778098,5.033355351,232.041096
1,3,A6,21,0.195276735,5.858213268,288.033184
1,3,A6,22,0.144304414,4.329069538,234.350368
1,3,A6,23,0.177366953,5.320934912,292.832839
1,3,A6,24,0.164695521,4.940793438,273.065173
1,3,A6,25,0.142249737,4.267432728,229.448825
1,3,A6,26,0.210407182,6.312127727,4.628958
,,,,,,
1,3,B1,1,0.11911092,3.573278532,211.779216
1,3,B1,2,0.126872484,3.806118061,226.340511
1,3,B1,3,0.122060754,3.661770976,207.625343
1,3,B1,4,0.135737199,4.072058558,238.218784
1,3,B1,5,0.129534383,3.885976589,228.628186
1,3,B1,6,0.152925101,4.587692184,270.983279
1,3,B1,7,0.057601505,1.728021158,102.473078
1,3,B1,8,0.079776488,2.393262507,141.603266
1,3,B1,9,0.057567993,1.727015676,102.240755
