Trial,Dose,Well,Minute,MD ,MV,TD
1,1,A4,19,0.03985846,1.195737306,70.429899
2,1,A4,19,0.076924082,2.307689851,134.617143
3,1,A4,19,0.086385059,2.59151648,154.370101
1,1,A4,20,0.080049579,2.40145229,142.248101
2,1,A4,20,0.072829644,2.184859271,128.908469
3,1,A4,20,0.099287213,2.978574768,175.738367
1,1,A4,21,0.101470712,3.044079798,181.226692
2,1,A4,21,0.113712382,3.411324672,199.56523
3,1,A4,21,0.202474671,6.074151127,361.012339
1,1,A4,22,0.099685578,2.990525362,177.739386
2,1,A4,22,0.132653794,3.979557299,231.348216
3,1,A4,22,0.26835483,8.050527349,453.519663
1,1,A4,23,0.089154707,2.674605115,159.49777
2,1,A4,23,0.141690818,4.250665353,246.683715
3,1,A4,23,0.266867483,8.005914058,459.012071
1,1,A4,24,0.088665369,2.659921574,158.267683
2,1,A4,24,0.172959658,5.188717372,296.798773
3,1,A4,24,0.231120394,6.933515366,401.456125
1,1,A4,25,0.091390177,2.741668198,162.765906
2,1,A4,25,0.153325174,4.599692471,268.012405
3,1,A4,25,0.199211787,5.976267451,354.796192
1,1,A5,1,0.00553648,0.166092201,9.9103
2,1,A5,1,0.1706034,5.118030939,301.626811
3,1,A5,1,0.259696532,7.790786165,433.433512
1,1,A5,2,0.006106658,0.183197082,10.253078
2,1,A5,2,0.221860934,6.655735259,394.468741
3,1,A5,2,0.250276591,7.508189519,400.442545
1,1,A5,3,0.008103944,0.243114774,12.747504
2,1,A5,3,0.160223561,4.806637777,287.601292
3,1,A5,3,0.205154052,6.154533867,361.276285
1,1,A5,4,0.030901686,0.927036594,55.15951
2,1,A5,4,0.226162819,6.784787716,403.926794
3,1,A5,4,0.233897605,7.016826369,408.385219
1,1,A5,5,0.123895463,3.716808377,212.232928
2,1,A5,5,0.189010578,5.670235466,336.81685
3,1,A5,5,0.054943986,1.648296326,98.239847
1,1,A5,6,0.097345899,2.920333791,173.081008
2,1,A5,6,0.155846303,4.675325509,275.536263
3,1,A5,6,0.05829904,1.74894757,104.122086
1,1,A5,7,0.032642639,0.979265868,58.299754
2,1,A5,7,0.138241394,4.14718224,246.207923
3,1,A5,7,0.053427749,1.602811399,93.979411
1,1,A5,8,0.053801872,1.61403407,95.982539
2,1,A5,8,0.147852797,4.435524196,199.453423
3,1,A5,8,0.055418902,1.66254341,98.313132
1,1,A5,9,0.080430971,2.412897037,143.327991
2,1,A5,9,0.171667588,5.149956288,300.589946
3,1,A5,9,0.058026682,1.740775408,101.60472
1,1,A5,10,0.104842928,3.145242066,186.725255
2,1,A5,10,0.181136366,5.434015034,320.97364
3,1,A5,10,0.067850833,2.035496403,121.113737
1,1,A5,11,0.127479354,3.824327891,227.933085
2,1,A5,11,0.194842759,5.845201317,343.118098
3,1,A5,11,0.067723829,2.031686086,117.839463
1,1,A5,12,0.114733855,3.441968149,203.88206
2,1,A5,12,0.195368628,5.860975221,322.553605
3,1,A5,12,0.097924976,2.937709312,173.523057
