Trail,Dose,Well,Minute,MD,MV,TD
1,1,A4,19,0.093223034,2.796648981,165.657332
1,1,A5,1,0.09471025,2.841270384,165.269387
2,1,B1,17,0.093936454,2.818060931,164.388795
2,1,A6,10,0.093184108,2.795488446,164.283583
1,1,A1,7,0.091750481,2.752475713,163.499357
2,1,A6,3,0.09398735,2.819579637,163.256027
1,1,A5,17,0.094750612,2.842478815,163.160554
1,1,A1,4,0.091909101,2.757235225,163.046745
2,1,A1,23,0.091457251,2.743677058,162.885364
2,1,B4,11,0.093098638,2.792919177,162.829517
2,1,A1,7,0.091252537,2.737535777,162.703273
1,1,A5,12,0.118170977,3.545089181,161.657896
2,1,B4,20,0.09016601,2.704941515,161.306992
3,1,A3,23,0.090368825,2.711024714,161.217983
2,1,A1,8,0.090446347,2.713351342,161.084944
1,1,A1,3,0.091233492,2.736966007,160.844646
1,1,A4,14,0.103244807,3.097298382,160.132696
1,1,A4,4,0.092135364,2.764020923,159.670585
1,1,A6,18,0.090769943,2.723058863,159.66433
2,1,A4,17,0.09159281,2.747745815,159.554675
2,1,B4,12,0.089120182,2.673567796,158.901285
1,1,A2,14,0.09379704,2.813870367,158.610794
2,1,A1,12,0.101514166,3.045379589,158.15907
1,1,A1,19,0.088949405,2.668448317,157.529396
2,1,A2,1,0.091556971,2.74667195,157.294877
1,1,A5,10,0.118432232,3.552916121,156.922707
1,1,A2,25,0.092428332,2.772816726,156.388737
2,1,B4,22,0.088088804,2.642628625,156.269539
1,1,A4,1,0.0888159,2.664441216,154.806114
2,1,A4,6,0.090236834,2.70706118,153.763565
1,1,A4,23,0.099352055,2.980512076,153.598277
1,1,A1,8,0.088172817,2.645150069,153.420702
2,1,A6,20,0.087060667,2.611783055,153.313835
2,1,B1,19,0.086709499,2.601248981,151.481494
2,1,B5,6,0.08589483,2.576808524,151.346691
3,1,A3,19,0.084856848,2.545670939,150.875475
1,1,A1,5,0.085325568,2.559730686,150.514302
2,1,B4,10,0.08494848,2.548419142,150.443758
2,1,A4,16,0.085348401,2.560412162,149.615747
1,1,A1,18,0.084335388,2.530028848,149.357972
2,1,A1,18,0.084946896,2.548372918,149.336644
1,1,A2,20,0.084810544,2.544283011,149.266558
2,1,B5,12,0.083928803,2.517829117,149.225411
2,1,B1,5,0.084989877,2.549655706,148.647294
2,1,B2,19,0.082781172,2.483399139,148.012735
2,1,B1,23,0.082588141,2.477608132,147.254656
1,1,A1,11,0.082882973,2.486457187,143.801958
1,1,A5,9,0.083374865,2.501211508,143.154644
2,1,A2,20,0.080945356,2.42832453,142.949499
2,1,A1,2,0.149130636,4.4738556,141.674104
1,1,A3,11,0.079419482,2.382550715,140.96958
3,1,A1,25,0.07888967,2.366656685,140.660281
3,1,A2,25,0.079130341,2.373878252,140.298095
2,1,B1,8,0.078068556,2.342024721,138.415549
1,1,A4,16,0.078452664,2.353543307,137.370614
2,1,A4,7,0.079627451,2.388792641,136.879589
1,1,A2,10,0.097692812,2.93075344,136.86763
1,1,A4,25,0.088636875,2.659063912,135.703055
1,1,A6,7,0.075868541,2.276022949,135.577082
1,1,A2,16,0.077282217,2.318436775,135.166598
2,1,B5,18,0.075688058,2.270607733,134.876119
1,1,A1,12,0.076458047,2.293709607,134.260331
1,1,A6,16,0.076530211,2.2958749,133.698279
3,1,A3,24,0.077938468,2.338119154,133.508596
1,1,A2,22,0.07594859,2.278424,132.910033
3,1,A2,15,0.074610732,2.238290843,132.732492
2,1,A5,17,0.073446238,2.203352797,129.999842
2,1,A6,25,0.073640036,2.20916861,129.827383
1,1,A1,6,0.073211434,2.196311179,129.730661
1,1,A5,7,0.074540005,2.236167995,129.401449
