Trial,Dose,Well,Minute,MD,MV,TD
3,8,B4,23,0.044562678,1.3368609,77.271683
1,8,C3,7,0.043260346,1.2977927,76.26799
1,8,C3,6,0.043343234,1.300280588,75.894003
1,8,C2,17,0.042015676,1.260453026,74.829919
1,8,B4,7,0.03969909,1.190955923,70.783477
3,8,C2,25,0.038643586,1.159291778,68.669652
3,8,B4,8,0.037127972,1.113823262,65.679382
1,8,C2,9,0.035243267,1.057283674,62.733015
1,8,B6,19,0.025811864,0.774349066,45.867683
1,8,C2,8,0.02590521,0.777145267,45.541359
1,8,B5,19,0.024698461,0.740942277,43.938563
1,8,C2,7,0.024426307,0.732778626,43.552105
1,8,B6,18,0.022480306,0.674397114,40.194787
1,8,B6,7,0.021755134,0.65264484,38.745893
1,8,C1,16,0.019618592,0.588548964,35.215373
1,8,B6,16,0.017837037,0.535102869,31.339674
1,8,C1,18,0.01151307,0.345387037,20.631422
1,8,B6,10,0.011523598,0.345702844,20.546575
1,8,B6,20,0.010113958,0.303414287,17.86125
1,8,C1,17,0.005639958,0.169196339,10.089884
1,8,B6,9,0.00553502,0.166048112,9.852335
1,8,B6,17,0.00548139,0.164439586,9.795244
1,8,B6,8,0.004857899,0.145734636,8.540187
3,8,B5,1,DEAD,,
3,8,C1,1,Dead,,
